Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,lat,long,coast,elev,pop
0.011,0.42,0.007,0.009,0.034,0.471,0.044,0.005,-5.664864,145.501591,0.321724565,177,4
0.048,0.066,0.008,0.006,0.281,0.55,0.04,0.002,-5.664864,145.501591,0.321724565,177,4
0.357,0.084,0.039,0.006,0.055,0.081,0.374,0.006,-5.664864,145.501591,0.321724565,177,4
0.057,0.069,0.835,0.004,0.008,0.013,0.011,0.004,-5.664864,145.501591,0.321724565,177,4
0.032,0.112,0.007,0.004,0.056,0.78,0.006,0.003,-5.664864,145.501591,0.321724565,177,4
0.016,0.599,0.064,0.003,0.033,0.269,0.012,0.004,-5.664864,145.501591,0.321724565,177,4
0.013,0.489,0.004,0.063,0.014,0.398,0.015,0.005,-5.664864,145.501591,0.321724565,177,4
0.696,0.076,0.024,0.003,0.033,0.143,0.014,0.011,-5.664864,145.501591,0.321724565,177,4
0.045,0.146,0.004,0.003,0.229,0.546,0.025,0.002,-5.664864,145.501591,0.321724565,177,4
0.01,0.176,0.02,0.01,0.232,0.518,0.006,0.027,-5.664864,145.501591,0.321724565,177,4
0.077,0.378,0.039,0.038,0.046,0.384,0.031,0.008,-5.664864,145.501591,0.321724565,177,4
0.005,0.017,0.005,0.002,0.004,0.942,0.004,0.02,-5.664864,145.501591,0.321724565,177,4
0.01,0.087,0.048,0.007,0.036,0.798,0.006,0.007,-5.664864,145.501591,0.321724565,177,4
0.055,0.068,0.834,0.004,0.01,0.013,0.012,0.004,-5.664864,145.501591,0.321724565,177,4
0.006,0.007,0.007,0.013,0.011,0.946,0.007,0.005,-5.664864,145.501591,0.321724565,177,4
0.013,0.069,0.006,0.012,0.79,0.101,0.007,0.002,-5.664864,145.501591,0.321724565,177,4
0.21,0.281,0.051,0.072,0.043,0.126,0.215,0.002,-5.664864,145.501591,0.321724565,177,4
0.045,0.183,0.05,0.016,0.524,0.137,0.038,0.008,-5.664864,145.501591,0.321724565,177,4
0.028,0.687,0.025,0.012,0.071,0.082,0.091,0.004,-5.664864,145.501591,0.321724565,177,4
0.012,0.027,0.026,0.053,0.834,0.026,0.02,0.003,-5.664864,145.501591,0.321724565,177,4
0.014,0.062,0.008,0.011,0.797,0.1,0.006,0.003,-5.664864,145.501591,0.321724565,177,4
0.085,0.509,0.009,0.061,0.179,0.145,0.011,0.003,-5.664864,145.501591,0.321724565,177,4
0.011,0.734,0.029,0.015,0.056,0.127,0.025,0.004,-5.664864,145.501591,0.321724565,177,4
0.037,0.533,0.006,0.002,0.135,0.251,0.031,0.004,-5.664864,145.501591,0.321724565,177,4
0.115,0.466,0.016,0.002,0.042,0.348,0.007,0.003,-5.664864,145.501591,0.321724565,177,4
0.037,0.575,0.013,0.017,0.055,0.288,0.01,0.005,-5.664864,145.501591,0.321724565,177,4
0.048,0.768,0.009,0.005,0.044,0.11,0.008,0.008,-5.664864,145.501591,0.321724565,177,4
0.019,0.023,0.01,0.006,0.221,0.014,0.643,0.065,-5.664864,145.501591,0.321724565,177,4
0.039,0.147,0.012,0.039,0.402,0.142,0.215,0.004,-5.664864,145.501591,0.321724565,177,4
0.021,0.198,0.052,0.005,0.598,0.108,0.011,0.008,-5.664864,145.501591,0.321724565,177,4
0.054,0.554,0.01,0.004,0.358,0.013,0.004,0.003,-5.664864,145.501591,0.321724565,177,4
0.011,0.414,0.035,0.011,0.055,0.458,0.009,0.006,-5.664864,145.501591,0.321724565,177,4
0.042,0.541,0.028,0.013,0.024,0.336,0.013,0.002,-5.664864,145.501591,0.321724565,177,4
0.043,0.548,0.049,0.006,0.033,0.305,0.014,0.002,-5.664864,145.501591,0.321724565,177,4
0.047,0.428,0.062,0.045,0.198,0.182,0.03,0.008,-5.664864,145.501591,0.321724565,177,4
